code,name,credits,description,prerequisites
EEC 189N,— Special Topics in Electrical Engineering & Computer Science: Active & Passive Circuits,(1-5 units),Course Description: Special topics in Active & Passive Circuits.,Prerequisite(s): Consent of instructor.
EEC 189O,— Special Topics in Electrical Engineering & Computer Science: Integrated Circuits,(1-5 units),Course Description: Special topics in Integrated Circuits.,Prerequisite(s): Consent of instructor.
EEC 189P,— Special Topics in Electrical Engineering & Computer Science: Computer Software,(1-5 units),Course Description: Special topics in Computer Software.,Prerequisite(s): Consent of instructor.
EEC 189Q,— Special Topics in Electrical Engineering & Computer Science: Computer Engineering,(1-5 units),Course Description: Special topics in Computer Engineering.,Prerequisite(s): Consent of instructor.
EEC 189R,— Special Topics in Electrical Engineering & Computer Science: Microprocessing,(1-5 units),Course Description: Special topics in Microprocessing.,Prerequisite(s): Consent of instructor.
EEC 189S,— Special Topics in Electrical Engineering & Computer Science: Electronics,(1-5 units),Course Description: Special topics in Electronics.,Prerequisite(s): Consent of instructor.
EEC 189T,— Special Topics in Electrical Engineering & Computer Science: Electromagnetics,(1-5 units),Course Description: Special topics in Electromagnetics.,Prerequisite(s): Consent of instructor.
EEC 189U,— Special Topics in Electrical Engineering & Computer Science: Opto-Electronics,(1-5 units),Course Description: Special topics in Opto-Electronics.,Prerequisite(s): Consent of instructor.
EEC 189W,— Special Topics in Electrical Engineering & Computer Science: Computer Networks,(1-5 units),Course Description: Special topics in Computer Networks.,Prerequisite(s): Consent of instructor.
EEC 190C,— Research Group Conferences in Electrical & Computer Engineering,(1 unit),Course Description: Research group conferences.,Prerequisite(s): Consent of instructor. Upper division standing in Electrical and Computer Engineering.
EEC 192,— Internship in Electrical & Computer Engineering,(1-6 units),Course Description: Supervised work experience in electrical and computer engineering.,Prerequisite(s): Consent of instructor. Completion of a minimum of 84 units; project approval before period of internship.
EEC 193A,— Senior Design Project,(3 units),"Course Description: Team design project for seniors in Electrical or Computer Engineering. Project involves analysis, design, implementation and evaluation of an Electrical Engineering or Computer Engineering system. Project is supervised by a faculty member.",Prerequisite(s): EEC 196 (can be concurrent); and consent of instructor.
EEC 193B,— Senior Design Project,(3 units),"Course Description: Team design project for seniors in Electrical Engineering or Computer Engineering. Project involves analysis, design, implementation and evaluation of an Electrical Engineering or Computer Engineering system. Project supervised by a faculty member.",Prerequisite(s): EEC 193A.
EEC 195A,— Autonomous Vehicle Design Project,(3 units),"This version has ended; see updated course, below.Course Description: Design and construct an autonomous race car. Work in groups to design, build and test speed control circuits, track sensing circuits, and a steering control loop.",Prerequisite(s): (ECS 036A or EEC 007); EEC 018; (EEC 110B or EEC 157A (can be concurrent) or ECS 036B).
EEC 195B,— Autonomous Vehicle Design Project,(3 units),"Course Description: Design and construct an autonomous race car. Students work in groups to design, build and test speed control circuits, track sensing circuits, and a steering control loop.",Prerequisite(s): EEC 195A.
EEC 196,— Issues in Engineering Design,(1 unit),"Course Description: Covers various electrical and computer engineering standards and realistic design constraints including economic, manufacturability, sustainability, ethical, health & safety, environmental, social, and political.",Prerequisite(s): Senior standing in Electrical or Computer Engineering.
EEC 197T,— Tutoring in Electrical & Computer Engineering,(1-3 units),"Course Description: Tutoring in Electrical & Computer Engineering courses, especially introductory circuits. For upper division undergraduate students who will provide tutorial assistance.",Prerequisite(s): Consent of instructor. Upper division standing.
EEC 198,— Directed Group Study,(1-5 units),Course Description: Directed group study.,Prerequisite(s): Consent of instructor.
EEC 199,— Special Study for Advanced Undergraduates,(1-5 units),Course Description: Special study for advanced undergraduates.,Prerequisite(s): Consent of instructor.
EEC 200,— Navigating Graduate School,(1 unit),"Course Description: Practical and non-technical skills necessary for first-year students in the Electrical & Computer Engineering Graduate Group. Mentorship, time management, research ethics, science communication, intellectual property.","Prerequisite(s): First-year Electrical  Computer Engineering graduate student, Electrical  Computer Engineering transfer student, or instructor approval."
EEC 201,— Digital Signal Processing,(4 units),"Course Description: Theory and design of digital filters. Classification of digital filters, linear phase systems, all-pass functions, FIR and IIR filter design methods and optimality measures, numerically robust structures for digital filters.",Prerequisite(s): EEC 150B; STA 120 or MAT 131 or MAT 167 recommended.
EEC 205,— Computational Methods in Biomedical Imaging,(4 units),"Course Description: Analytic tomographic reconstruction from projections in 2D and 3D; model-based image reconstruction methods; maximum likelihood and Bayesian methods; applications to CT, PET, and SPECT.",Prerequisite(s): (BIM 105 or STA 120); (BIM 108 or EEC 150A).
EEC 206,— Digital Image Processing,(4 units),"Course Description: Two-dimensional systems theory, image perception, sampling and quantization, transform theory and applications, enhancement, filtering and restoration, image analysis, and image processing systems.",Prerequisite(s): EEC 150B.
